time,clientPoolX1,clientPoolX10,clientPoolX11,clientPoolX12,clientPoolX13,clientPoolX14,clientPoolX15,clientPoolX2,clientPoolX3,clientPoolX4,clientPoolX5,clientPoolX6,clientPoolX7,clientPoolX8,clientPoolX9
0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
1000,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2000,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
3000,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002
4000,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
5000,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
6000,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
7000,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
8000,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.39999999999999997
9000,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.44999999999999996
10000,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994
11000,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999
12000,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
13000,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
14000,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001
15000,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001
16000,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.8000000000000002
17000,0.8500000000000002,0.8500000000000002,0.8500000000000002,0.8500000000000002,0.8500000000000002,0.8500000000000002,0.8500000000000002,0.8500000000000002,0.8500000000000002,0.8500000000000002,0.8500000000000002,0.8500000000000002,0.8500000000000002,0.8500000000000002,0.8500000000000002
18000,0.9000000000000002,0.9000000000000002,0.9000000000000002,0.9000000000000002,0.9000000000000002,0.9000000000000002,0.9000000000000002,0.9000000000000002,0.9000000000000002,0.9000000000000002,0.9000000000000002,0.9000000000000002,0.9000000000000002,0.9000000000000002,0.9000000000000002
19000,0.9500000000000003,0.9500000000000003,0.9500000000000003,0.9500000000000003,0.9500000000000003,0.9500000000000003,0.9500000000000003,0.9500000000000003,0.9500000000000003,0.9500000000000003,0.9500000000000003,0.9500000000000003,0.9500000000000003,0.9500000000000003,0.9500000000000003
20000,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
21000,1.0500000000000003,1.0500000000000003,1.0500000000000003,1.0500000000000003,1.0500000000000003,1.0500000000000003,1.0500000000000003,1.0500000000000003,1.0500000000000003,1.0500000000000003,1.0500000000000003,1.0500000000000003,1.0500000000000003,1.0500000000000003,1.0500000000000003
22000,1.1000000000000003,1.1000000000000003,1.1000000000000003,1.1000000000000003,1.1000000000000003,1.1000000000000003,1.1000000000000003,1.1000000000000003,1.1000000000000003,1.1000000000000003,1.1000000000000003,1.1000000000000003,1.1000000000000003,1.1000000000000003,1.1000000000000003
23000,1.1500000000000004,1.1500000000000004,1.1500000000000004,1.1500000000000004,1.1500000000000004,1.1500000000000004,1.1500000000000004,1.1500000000000004,1.1500000000000004,1.1500000000000004,1.1500000000000004,1.1500000000000004,1.1500000000000004,1.1500000000000004,1.1500000000000004
24000,1.2000000000000004,1.2000000000000004,1.2000000000000004,1.2000000000000004,1.2000000000000004,1.2000000000000004,1.2000000000000004,1.2000000000000004,1.2000000000000004,1.2000000000000004,1.2000000000000004,1.2000000000000004,1.2000000000000004,1.2000000000000004,1.2000000000000004
25000,1.2500000000000004,1.2500000000000004,1.2500000000000004,1.2500000000000004,1.2500000000000004,1.2500000000000004,1.2500000000000004,1.2500000000000004,1.2500000000000004,1.2500000000000004,1.2500000000000004,1.2500000000000004,1.2500000000000004,1.2500000000000004,1.2500000000000004
26000,1.3000000000000005,1.3000000000000005,1.3000000000000005,1.3000000000000005,1.3000000000000005,1.3000000000000005,1.3000000000000005,1.3000000000000005,1.3000000000000005,1.3000000000000005,1.3000000000000005,1.3000000000000005,1.3000000000000005,1.3000000000000005,1.3000000000000005
27000,1.3500000000000005,1.3500000000000005,1.3500000000000005,1.3500000000000005,1.3500000000000005,1.3500000000000005,1.3500000000000005,1.3500000000000005,1.3500000000000005,1.3500000000000005,1.3500000000000005,1.3500000000000005,1.3500000000000005,1.3500000000000005,1.3500000000000005
28000,1.4000000000000006,1.4000000000000006,1.4000000000000006,1.4000000000000006,1.4000000000000006,1.4000000000000006,1.4000000000000006,1.4000000000000006,1.4000000000000006,1.4000000000000006,1.4000000000000006,1.4000000000000006,1.4000000000000006,1.4000000000000006,1.4000000000000006
29000,1.4500000000000006,1.4500000000000006,1.4500000000000006,1.4500000000000006,1.4500000000000006,1.4500000000000006,1.4500000000000006,1.4500000000000006,1.4500000000000006,1.4500000000000006,1.4500000000000006,1.4500000000000006,1.4500000000000006,1.4500000000000006,1.4500000000000006
30000,1.5000000000000007,1.5000000000000007,1.5000000000000007,1.5000000000000007,1.5000000000000007,1.5000000000000007,1.5000000000000007,1.5000000000000007,1.5000000000000007,1.5000000000000007,1.5000000000000007,1.5000000000000007,1.5000000000000007,1.5000000000000007,1.5000000000000007
31000,1.5500000000000007,1.5500000000000007,1.5500000000000007,1.5500000000000007,1.5500000000000007,1.5500000000000007,1.5500000000000007,1.5500000000000007,1.5500000000000007,1.5500000000000007,1.5500000000000007,1.5500000000000007,1.5500000000000007,1.5500000000000007,1.5500000000000007
32000,1.6000000000000008,1.6000000000000008,1.6000000000000008,1.6000000000000008,1.6000000000000008,1.6000000000000008,1.6000000000000008,1.6000000000000008,1.6000000000000008,1.6000000000000008,1.6000000000000008,1.6000000000000008,1.6000000000000008,1.6000000000000008,1.6000000000000008
33000,1.6500000000000008,1.6500000000000008,1.6500000000000008,1.6500000000000008,1.6500000000000008,1.6500000000000008,1.6500000000000008,1.6500000000000008,1.6500000000000008,1.6500000000000008,1.6500000000000008,1.6500000000000008,1.6500000000000008,1.6500000000000008,1.6500000000000008
34000,1.7000000000000008,1.7000000000000008,1.7000000000000008,1.7000000000000008,1.7000000000000008,1.7000000000000008,1.7000000000000008,1.7000000000000008,1.7000000000000008,1.7000000000000008,1.7000000000000008,1.7000000000000008,1.7000000000000008,1.7000000000000008,1.7000000000000008
